date,OilShock,OilPrice,WorldOilProd,WorldOilInv,WorldIndProd,UsIndProd,UsCpi
199103,3.1046194794,-3.283854983,0.4219989736,1.277931071,-0.3982278483,-0.5304162294,0
199104,0,4.5127439921,-2.3352866799,-2.3154870054,0.7242246726,0.1981168353,0.2223046488
199105,0,1.6133920808,-0.2994568437,-0.3410691989,0.4505781712,0.9947117592,0.369413054
199106,-0.6363482096,-5.3396657588,0.3257858778,-0.0019547202,0.1570572118,0.8925535311,0.294551023
199107,0,5.7420508025,1.6630001309,0.5804772403,0.1292292757,0.0954957895,0.1469507979
199108,0,0.9501493755,-1.1635069927,0.3947318537,-0.0449700066,0.0742637116,0.2932553421
199109,0.0555793712,0.483814548,1.7308083882,0.8897643767,0.2964885496,0.8806796696,0.2923978691
199110,0,5.9378421678,-0.0737137663,-0.5960701115,0.2810186394,-0.1800888189,0.1458789464
199111,1.6061626665,-3.7763548275,0.4054704517,0.2734863188,0.0324027062,-0.1218486598,0.4363643288
199112,0,-14.3571214627,0.6696575266,-1.1446624343,-0.8017386253,-0.4067687974,0.2898552754
199201,0,-3.7089073829,0.1112374595,0.9311658242,0.4262926655,-0.5710439629,0.0723327337
199202,-5.6142203957,0.7088804397,-1.3759759023,0.8465201981,0.6902238218,0.697136646,0.2166848085
199203,0,-0.7768674032,-1.080406005,-0.9243167355,-0.0910266672,0.8650672503,0.3601012174
199204,0,6.5646530601,0.600428331,0.1960447462,0.2060973416,0.7377056719,0.2154399397
199205,4.1004173975,3.1702382726,-1.8938304468,-0.1689932512,-0.2963489436,0.3183526305,0.2149767936
199206,0,6.3423871638,0.4101552166,-0.7864372696,0.1384314352,0.0192986917,0.285918708
199207,0,-3.0767834542,0.7815822767,0.022654945,0.4674089507,0.8910239029,0.2851035431
199208,0,-2.1108680325,-0.0221875019,0.6444970183,-0.6564593379,-0.489965085,0.213295495
199209,-0.6399735013,2.3397802044,0.4371483545,-0.1507812287,0.5378635022,0.2390437564,0.2128415135
199210,0,-1.4062132495,1.3216698288,0.3548994538,0.169612065,0.7372890278,0.4243287838
199211,-1.5353016418,-6.6890286399,-0.4767713143,-0.5952281381,-0.0618708055,0.4319876006,0.2818888406
199212,0,-4.8460358466,0.5289534826,1.2482831531,-0.5743180508,0.0829881805,0.1406469993
199301,0,-2.0762793369,-0.3042141717,0.6325719147,0.7718419255,0.4248354025,0.350754481
199302,-0.1895662987,4.7901554667,0.5844163613,-0.495246937,0.707211978,0.4342132911,0.2098636657
199303,0,1.3158064107,-1.1794702694,0.5480427723,-0.0870498565,-0.1033055633,0.1396648272
199304,0,-0.7274630863,-1.1739844101,0.1720885124,0.2836093544,0.3006755173,0.3483110453
199305,0,-1.9191975494,0.312447471,0.3061187116,0.2873036854,-0.3236468093,0.2777779564
199306,-1.3552462878,-4.530458585,-0.4767996053,0.4109531843,-0.3519109065,0.1798999931,0.0693240929
199307,0,-6.6601996105,1.0143396333,0.0342430853,0.0138424384,0.3054009531,0.1385041773
199308,0,0.5898195259,-0.2962578795,-0.1161645302,-0.1195962002,-0.1036782088,0.2073972399
199309,0.2091594353,-2.9251334307,0.0189008016,-0.2576249209,0.3716321415,0.4750264681,0.1380262469
199310,0,3.1265086223,0.7712269055,-0.539063648,0.0039184371,0.7547339087,0.4129393342
199311,-5.3337419627,-8.578968922,0.1057077125,0.5924573986,0.2967729481,0.4211525573,0.2743485946
199312,0,-14.2563456812,0.6392775946,0.4774379999,0.5824509893,0.5318471292,0.2052686318
199401,0,3.3212134206,0.4218517526,1.2297801495,-0.0398954347,0.3718339654,0
199402,0,-1.7505662705,-0.2941632937,-1.0305019484,0.329414947,0.0172374209,0.2730377123
199403,-5.0235115504,-1.087516152,-0.1497752132,0.194743896,0.7815793776,1.0322858238,0.2722942458
199404,0,11.0258803279,-0.7615236426,-0.177100065,0.6453894572,0.5244387327,0.0679578687
199405,0,8.5585721835,0.7321931821,0.1004091778,0.5170979073,0.5302139815,0.2035969485
199406,-0.6560623932,6.172545593,0.5173729356,0.3487306044,0.7460623062,0.6365710686,0.2708193937
199407,0,2.6585957686,-0.6558505358,0.1042037028,0.2321177764,0.1570339917,0.3374961017
199408,0,-7.08491966,-0.177579799,-0.0662673861,1.0368085431,0.5828784856,0.4034975212
199409,0,-5.3361965116,0.9987534045,0.8546857449,0.3642570382,0.3608735819,0.20113986
199410,0,1.354733323,0.8097685953,0.4976936754,0.7398317449,0.8531352151,0.0669568154
199411,1.6996799787,1.9108688093,0.2823303085,0.0632815119,0.8658664032,0.6254253086,0.2673798384
199412,0,-5.5331511768,0.5182484308,0.4260677243,1.119852631,1.0310419224,0.2000667556
199501,0,4.4573608353,-0.6544987669,-1.0739299373,-0.3473433532,0.1803791983,0.266134555
199502,0,2.692071075,0.8375410198,0.0804180004,0.198012394,-0.1360692235,0.2654281585
199503,0,-0.0907349215,-1.2076660047,-0.3633785613,-0.062400136,0.1366120431,0.1986097972
199504,0,6.4780866294,1.2937537721,0.3491974335,0.4499670963,-0.0183217918,0.3960401216
199505,0,-0.8538356862,0.0076169468,-0.2354803793,-0.3930455396,0.2843556278,0.1974334304
199506,0.3596725627,-7.1180447165,-1.3865801034,1.5193779632,0.4950635207,0.3422400518,0.1970443987
199507,0,-6.4042004921,1.5366838967,-0.7881838933,-0.1129049192,-0.3978819146,0.1311475598
199508,0,3.9366541627,0.2099081072,-1.1204189497,0.6281773496,1.2590242002,0.1963994085
199509,0,0.9724361747,0.6289988039,0.9228556176,0.0132367549,0.3939792545,0.1307189729
199510,0,-4.6911434573,-0.5428535952,-0.1533058232,-0.0024179881,-0.1106165318,0.2609264364
199511,-0.1263070607,2.9747545964,0.316139435,0.8827149362,0.5140079213,0.2526392274,0.1302083517
199512,0,5.54255911,0.6190960441,-1.1409241349,0.7790621574,0.3853850684,0.13003903
199601,0,-1.362358538,-0.111431873,-0.7816492546,-0.1938067405,-0.651626581,0.5184716734
199602,0,0.8075899555,0.6269377502,0.7667065564,-0.0290626415,1.549238881,0.193735934
199603,0,11.018297978,-0.2345506094,-0.7006563016,0.4981348387,-0.1058956094,0.32206147
199604,0,9.4603606954,-0.2329996233,-0.2514936116,0.401520107,0.900857478,0.3851095902
199605,0,-10.5537822167,0.0003951867,0.3338778438,0.6626522702,0.7347796703,0.192000059
